City,Crime Type,Crime Description,Convict Name
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Ng Tsz-Ho
Hong Kong,Robbery,Theft committed by using force or threat against a person.,Ho Man-Ching
Hong Kong,Burglary,Unlawful entry into a building to commit theft or another crime.,Lau Chun-Hei
Hong Kong,Assault,Intentional or reckless use of unlawful force or threat against another person.,Yip Kar-Lok
Hong Kong,Drug Offense,"Illegal possession, distribution, or manufacture of controlled substances.",Leung Kai-Wai
Hong Kong,Fraud,Obtaining money or goods by deliberate deception or false representation.,Sze Man-Ching
Hong Kong,Vandalism,Deliberately damaging or defacing another person's property.,Yip Man-Ching
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Lee Chi-Ho
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Chiu Chun-Hei
Hong Kong,Robbery,Theft committed by using force or threat against a person.,Wong Ho-Wing
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Chan Kar-Lok
Hong Kong,Burglary,Unlawful entry into a building to commit theft or another crime.,Lam Ching-Yi
Hong Kong,Burglary,Unlawful entry into a building to commit theft or another crime.,To Wai-Tung
Hong Kong,Fraud,Obtaining money or goods by deliberate deception or false representation.,Ng Ho-Lam
Hong Kong,Fraud,Obtaining money or goods by deliberate deception or false representation.,Sze Kai-Wai
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Ng Hing-Chung
Hong Kong,Vandalism,Deliberately damaging or defacing another person's property.,Wai Yuen-Ting
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Tam Kar-Lok
Hong Kong,Burglary,Unlawful entry into a building to commit theft or another crime.,Tsang Mei-Tak
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Wong Mei-Tak
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Tam Tsz-Ho
Hong Kong,Robbery,Theft committed by using force or threat against a person.,Yuen Hing-Chung
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Leung Pui-Yee
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Yip Kai-Wai
Hong Kong,Drug Offense,"Illegal possession, distribution, or manufacture of controlled substances.",Lau Wai-Kei
Hong Kong,Burglary,Unlawful entry into a building to commit theft or another crime.,Mak Tsz-Ho
Hong Kong,Vandalism,Deliberately damaging or defacing another person's property.,Mak Kai-Wai
Hong Kong,Burglary,Unlawful entry into a building to commit theft or another crime.,Cheung Kai-Wai
Hong Kong,Assault,Intentional or reckless use of unlawful force or threat against another person.,Kwan King-To
Hong Kong,Assault,Intentional or reckless use of unlawful force or threat against another person.,Fong Chun-Kit
Hong Kong,Robbery,Theft committed by using force or threat against a person.,Lam Wai-Tung
Hong Kong,Assault,Intentional or reckless use of unlawful force or threat against another person.,Chiu Hing-Chung
Hong Kong,Fraud,Obtaining money or goods by deliberate deception or false representation.,Fong Chi-Ho
Hong Kong,Drug Offense,"Illegal possession, distribution, or manufacture of controlled substances.",Ho Wai-Kei
Hong Kong,Burglary,Unlawful entry into a building to commit theft or another crime.,Chan Yuen-Ting
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Cheung Ho-Lam
Hong Kong,Fraud,Obtaining money or goods by deliberate deception or false representation.,Chiu King-To
Hong Kong,Vandalism,Deliberately damaging or defacing another person's property.,Wai Wai-Tung
Hong Kong,Assault,Intentional or reckless use of unlawful force or threat against another person.,Yip Kai-Wai
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Leung Mei-Ling
Hong Kong,Drug Offense,"Illegal possession, distribution, or manufacture of controlled substances.",Ho Ho-Wing
Hong Kong,Vandalism,Deliberately damaging or defacing another person's property.,Chiu Chun-Hei
Hong Kong,Drug Offense,"Illegal possession, distribution, or manufacture of controlled substances.",Kwan Wai-Tung
Hong Kong,Burglary,Unlawful entry into a building to commit theft or another crime.,Yip Yuen-Ting
Hong Kong,Vandalism,Deliberately damaging or defacing another person's property.,To Kar-Lok
Hong Kong,Vandalism,Deliberately damaging or defacing another person's property.,Fong Pui-Yee
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Ho Yuen-Ting
Hong Kong,Fraud,Obtaining money or goods by deliberate deception or false representation.,Chiu Kar-Lok
Hong Kong,Robbery,Theft committed by using force or threat against a person.,Sze Pui-Yee
Hong Kong,Fraud,Obtaining money or goods by deliberate deception or false representation.,Ho Mei-Tak
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Chan Kai-Wai
Hong Kong,Burglary,Unlawful entry into a building to commit theft or another crime.,Fong Man-Ching
Hong Kong,Robbery,Theft committed by using force or threat against a person.,Mak Chun-Kit
Hong Kong,Drug Offense,"Illegal possession, distribution, or manufacture of controlled substances.",Wai Hing-Chung
Hong Kong,Assault,Intentional or reckless use of unlawful force or threat against another person.,Ho Ho-Wing
Hong Kong,Robbery,Theft committed by using force or threat against a person.,To Ho-Lam
Hong Kong,Vandalism,Deliberately damaging or defacing another person's property.,Yip Mei-Ling
Hong Kong,Vandalism,Deliberately damaging or defacing another person's property.,Chiu Kar-Lok
Hong Kong,Assault,Intentional or reckless use of unlawful force or threat against another person.,Cheung Yuen-Ting
Hong Kong,Assault,Intentional or reckless use of unlawful force or threat against another person.,Fong Chun-Hong
Hong Kong,Assault,Intentional or reckless use of unlawful force or threat against another person.,Cheung Man-Ching
Hong Kong,Drug Offense,"Illegal possession, distribution, or manufacture of controlled substances.",Wai Kar-Lok
Hong Kong,Burglary,Unlawful entry into a building to commit theft or another crime.,Wong Tsz-Ho
Hong Kong,Assault,Intentional or reckless use of unlawful force or threat against another person.,Yip Hing-Chung
Hong Kong,Assault,Intentional or reckless use of unlawful force or threat against another person.,Ho King-To
Hong Kong,Theft,Dishonest appropriation of another person's property with intent to permanently deprive the owner of it.,Chiu Ching-Yi
